model,feature_set,accuracy,precision,recall,f1,train_f1,f1_gap
decision_tree,relacional,0.6301075268817204,0.37142857142857144,0.38235294117647056,0.37681159420289856,0.9963235294117647,0.6195119352088662
decision_tree,mixto,0.624731182795699,0.358974358974359,0.3602941176470588,0.3596330275229358,1.0,0.6403669724770642
decision_tree,no_relacional,0.6301075268817204,0.3524590163934426,0.3161764705882353,0.3333333333333333,1.0,0.6666666666666667
